City;Area;Suburb;GpsLat,GpsLong;
Düsseldorf;;;51.2384547,6.8143503
Düsseldorf;Center;;51.218514,6.7707483
Düsseldorf;Center;Altstadt;51.2272899,6.7725422
Düsseldorf;Center;Carlstadt;51.2201704,6.772928
Düsseldorf;Center;Derendorf;51.2528229,6.7782096
Düsseldorf;Center;Golzheim;51.2476885,6.7640125
Düsseldorf;Center;Pempelfort;51.2385664,6.781477
Düsseldorf;Center;Stadtmitte;51.2267473,6.7882854
Düsseldorf;Center;Friedrichstadt;51.2139004,6.7835381
Düsseldorf;Center;Unterbilk;51.2143899,6.7624891
Düsseldorf;Center;Hafen;51.2186449,6.7411885
Düsseldorf;North;;51.2604279,6.7716924
Düsseldorf;North;Angermund;51.332085,6.7691795
Düsseldorf;North;Kaiserswerth;51.2993494,6.7407195
Düsseldorf;North;Kalkum;51.3072684,6.781206
Düsseldorf;North;Lohausen;51.2858039,6.7548166
Düsseldorf;North;Stockum;51.2646825,6.7334179
Düsseldorf;North;Wittlaer;51.3266485,6.7380742
Düsseldorf;North;Unterrath;51.2693379,6.7768149
Düsseldorf;South;;51.1822331,6.8171928
Düsseldorf;South;Bilk;51.1959109,6.7846295
Düsseldorf;South;Flehe;51.1887259,6.7847909
Düsseldorf;South;Hamm;51.1976964,6.7458301
Düsseldorf;South;Oberbilk;51.2098654,6.805729
Düsseldorf;South;Volmerswerth;51.1879344,6.7559689
Düsseldorf;South;Benrath;51.1631264,6.8776728
Düsseldorf;South;Hassels;51.1791064,6.8769744
Düsseldorf;South;Himmelgeist;51.162498,6.8048555
Düsseldorf;South;Holthausen;51.1729518,6.8334033
Düsseldorf;South;Itter;51.1588509,6.8186429
Düsseldorf;South;Reisholz;51.1767935,6.8598134
Düsseldorf;South;Urdenbach;51.1360403,6.8719533
Düsseldorf;South;Wersten;51.186827,6.8236776
Düsseldorf;South;Garath;51.1449554,6.8981745
Düsseldorf;South;Hellerhof;51.1294504,6.9042979
Düsseldorf;South;Eller;51.202455,6.8481185
Düsseldorf;East;;51.2364817,6.8351766
Düsseldorf;East;Düsseltal;51.2414308,6.807603
Düsseldorf;East;Flingern-Nord;51.2296014,6.8188055
Düsseldorf;East;Flingern-Süd;51.218721,6.8110305
Düsseldorf;East;Lichtenbroich;51.28149,6.7905909
Düsseldorf;East;Mörsenbroich;51.2529929,6.8067575
Düsseldorf;East;Rath;51.268793,6.836491
Düsseldorf;East;Gerresheim;51.2310264,6.856599
Düsseldorf;East;Grafenberg;51.2422544,6.826047
Düsseldorf;East;Hubbelrath;51.2559216,6.900307
Düsseldorf;East;Ludenberg;51.2515574,6.8515446
Düsseldorf;East;Hubbelrath;51.2559216,6.900307
Düsseldorf;East;Lierenfeld;51.2140115,6.826935
Düsseldorf;East;Unterbach;51.197203,6.8915538
Düsseldorf;East;Vennhausen;51.2092114,6.8591864
Düsseldorf;West;;51.2281887,6.7225439
Düsseldorf;West;Heerdt;51.234442,6.7120439
Düsseldorf;West;Lörick;51.2481564,6.7310276
Düsseldorf;West;Niederkassel;51.2415244,6.7535109
Düsseldorf;West;Oberkassel;51.2304399,6.7479353
